제품명,용량ml,신라용량ml,롯데용량ml,신세계용량ml,신라_USD,신라_USD100ml,롯데_USD,롯데_USD100ml,신세계_USD,신세계_USD100ml,최저가_면세점,가격차_USD100ml,가격차_%,국내최저_₩,국내최저_₩100ml,국내최저_소스,국내수집일,면세최저_₩100ml,면세vs국내_%,최저처(면세vs국내),더싼곳,차이_USD100ml,신라상품명,롯데상품명,신세계상품명
싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,1000,1000,,1000,82.8,8.28,,,95.4,9.54,신라,1.26,13.2,,,,,,,,,,싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml,,싱글톤 가든스 오브 어번던스 - 이그저틱 스파이스 그로브 1000ml
와일드터키 마스터스 킵 트라이엄프 750ml,750,,750,750,,,139.65,18.62,148.75,19.83,롯데,1.21,6.1,,,,,,,,,,,와일드터키 마스터스 킵 트라이엄프 750ml,와일드터키 마스터스 킵 트라이엄프 750ml
더 글렌그란트 15년 1000ml,1000,1000,1000,1000,61.44,6.14,67.96,6.8,73.47,7.35,신라,1.2,16.4,89400,12771,트레이더스,2026-06-30,9314,27.1,면세,신라,0.65,더 글렌그란트 15년 1000ml,더 글렌그란트 15년 1000ml,더 글렌그란트 15년 1000ml
글렌알라키 12년 (24RB) 700ml,700,700,700,700,53.66,7.67,45.26,6.47,53.55,7.65,롯데,1.2,15.7,89900,12843,데일리샷,2026-06-28,9814,23.6,면세,롯데,1.2,글렌알라키 12년 (24RB) 700ml,글렌알라키 12년 700ml,글렌알라키 12년 (24RB) 700mL
더 글렌그란트 13년 1000ml,1000,1000,1000,1000,48.0,4.8,49.68,4.97,60.0,6.0,신라,1.2,20.0,,,,,,,,신라,0.17,더 글렌그란트 13년 1000ml,더 글렌그란트 13년 1000ml,더 글렌그란트 13년 1000ml
오켄토션 24년 700ml,700,700,,700,139.1,19.87,,,147.38,21.05,신라,1.18,5.6,,,,,,,,,,오켄토션 24년 700ml,,오켄토션 24년 700ml
쿠라 8년 아와모리 700ml,700,700,700,,105.04,15.01,96.96,13.85,,,롯데,1.15,7.7,,,,,,,,롯데,1.15,쿠라 8년 아와모리 700ml,쿠라 8년 아와모리 700ml,
탈리스커 SR FY24 700ml(2023 Special Release),700,,700,700,,,78.33,11.19,86.4,12.34,롯데,1.15,9.3,,,,,,,,,,,탈리스커 SR FY24 700ml(2023 Special Release),탈리스커 SR FY24 700ml(2023 Special Release)
글렌알라키 17Y 미즈나라 700mL,700,700,,700,296.02,42.29,,,304.0,43.43,신라,1.14,2.6,,,,,,,,,,글렌알라키 17Y 미즈나라 700mL,,글렌알라키 17Y 미즈나라 700ml
잭다니엘 아메리칸 싱글몰트 1000ml,1000,1000,1000,1000,55.2,5.52,44.64,4.46,56.0,5.6,롯데,1.14,20.3,,,,,,,,롯데,1.06,잭다니엘 아메리칸 싱글몰트 1000ml,잭다니엘 아메리칸 싱글몰트 1000ml,잭다니엘 아메리칸 싱글몰트 1000ml
벤리악 30년 1994 캐스크 에디션 700ml,700,,700,700,,,666.9,95.27,674.5,96.36,롯데,1.09,1.1,1289000,184143,데일리샷,2026-06-28,144515,21.5,면세,,,,벤리악 30년 1994 캐스크 에디션 700ml,벤리악 30년 1994 캐스크 에디션 700ml
아벨라워 13년 700ml,700,,700,700,,,52.65,7.52,45.15,6.45,신세계,1.07,14.2,,,,,,,,,,,아벨라워 13년 700ml,아벨라워 13년 700ml
글렌모렌지 19년 700ml,700,,700,700,,,112.5,16.07,120.0,17.14,롯데,1.07,6.2,243000,34714,데일리샷,2026-06-28,24377,29.8,면세,,,,글렌모렌지 19년 700ml,글렌모렌지 19년 700ml
보모어 22년 700ml,700,700,,700,219.45,31.35,,,212.27,30.32,신세계,1.03,3.3,,,,,,,,,,보모어 22년 700ml,,보모어 22년 700ml
오켄토션 블러드 오크 1000ml,1000,1000,1000,1000,40.66,4.07,44.8,4.48,50.83,5.08,신라,1.02,20.0,,,,,,,,신라,0.41,오켄토션 블러드 오크 1000ml,오켄토션 블러드 오크  1000ml,오켄토션 블러드 오크 1000ml
조니워커 블랙 루비 1000ml,1000,1000,1000,1000,31.95,3.19,42.03,4.2,35.54,3.55,신라,1.01,24.0,45000,6429,데일리샷,2026-06-30,4839,24.7,면세,신라,1.01,조니워커 블랙 루비 1000ml,조니워커 블랙 루비 1000ml,조니워커 블랙 루비 1000ml
올트모어 23년 CS 한정판 (화이트포트) 700ml,700,700,,700,327.61,46.8,,,320.71,45.82,신세계,0.99,2.1,,,,,,,,,,올트모어 23년 CS 한정판 (화이트포트) 700ml,,올트모어 23년 CS 한정판 (화이트포트) 700ml
올트모어 19년 CS 한정판 (토니포트) 700ml,700,700,,700,198.36,28.34,,,205.2,29.31,신라,0.98,3.3,,,,,,,,,,올트모어 19년 CS 한정판 (토니포트) 700ml,,올트모어 19년 CS 한정판 (토니포트) 700ml
윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml,750,750,,750,24.2,3.23,,,31.57,4.21,신라,0.98,23.3,,,,,,,,,,윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml,,윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml
더 글렌리벳 트리플 캐스크 머추어드 1000ml,1000,1000,,1000,45.7,4.57,,,35.95,3.6,신세계,0.97,21.3,,,,,,,,,,더 글렌리벳 트리플 캐스크 머추어드 1000ml,,더 글렌리벳 트리플 캐스크 머추어드 1000ml
와일드터키 마스터스 킵 언포가튼 750ml,750,750,,750,126.0,16.8,,,119.0,15.87,신세계,0.93,5.6,,,,,,,,,,와일드터키 마스터스 킵 언포가튼 750ml,,와일드터키 마스터스 킵 언포가튼 750ml
탈리스커 다크 스톰 1000ml,1000,1000,,1000,57.15,5.71,,,66.29,6.63,신라,0.91,13.8,129000,12900,데일리샷,2026-06-28,8661,32.9,면세,,,탈리스커 다크 스톰 1000ml,,탈리스커 다크스톰 1000ml
달위니 15년 1000ml,1000,1000,1000,1000,65.15,6.52,60.96,6.1,69.85,6.98,롯데,0.89,12.7,109900,15700,데일리샷,2026-06-28,9253,41.1,면세,롯데,0.42,달위니 15년 1000ml,달위니 15년 1000ml,달위니 15년 1000ml
몰트락 네버바운드 700ml,700,700,,700,95.76,13.68,,,102.0,14.57,신라,0.89,6.1,240000,34286,데일리샷,2026-06-28,20751,39.5,면세,,,몰트락 네버바운드 700ml,,몰트락 네버바운드 700ml
윌더니스 트레일 켄터키 스트레이트 휘티드 버번 750ml,750,750,,750,22.0,2.93,,,28.7,3.83,신라,0.89,23.3,,,,,,,,,,윌더니스 트레일 켄터키 스트레이트 휘티드 버번 750ml,,윌더니스 트레일 켄터키 스트레이트 휘티드 버번 750ml
제임슨 트리플 트리플 1000ml,1000,1000,,1000,23.97,2.4,,,32.9,3.29,신라,0.89,27.1,26500,3786,데일리샷,2026-06-30,3641,3.8,면세,,,제임슨 트리플 트리플 1000ml,,제임슨 트리플 트리플 1000ml
패터캐른 17년 700ml,700,700,,700,68.2,9.74,,,62.0,8.86,신세계,0.89,9.1,,,,,,,,,,패터캐른 17년 700ml,,패터캐른 17년 700ml
더 글렌그란트 10년 1000ml,1000,1000,1000,1000,29.76,2.98,38.5,3.85,35.59,3.56,신라,0.87,22.7,69000,6900,데일리샷,2026-06-28,4520,34.5,면세,신라,0.87,더 글렌그란트 10년 1000ml,더 글렌그란트 10년 1000ml,더 글렌그란트 10년 1000ml
블라드녹 비나야 700ml,700,,700,700,,,32.91,4.7,39.0,5.57,롯데,0.87,15.6,88000,12571,데일리샷,2026-06-28,7129,43.3,면세,,,,블라드녹 비나야 700ml,블라드녹 비나야 700ml
더 글렌리벳 14년 1000ml,1000,1000,1000,1000,59.76,5.98,59.5,5.95,51.17,5.12,신세계,0.86,14.4,,,,,,,,롯데,0.03,더 글렌리벳 14년 1000ml,더 글렌리벳 14년 1000ml,더 글렌리벳 14년 1000ml
쿠라요시 레귤러 700ml,700,700,,700,50.76,7.25,,,56.73,8.1,신라,0.85,10.5,,,,,,,,,,쿠라요시 레귤러 700ml,,쿠라요시 레귤러 700ml
아드모어 트리플 우드 1000ml,1000,1000,,1000,58.8,5.88,,,50.4,5.04,신세계,0.84,14.3,,,,,,,,,,아드모어 트리플 우드 1000ml,,아드모어 트리플우드 1000ml
글렌드로낙 10년 1000ml,1000,1000,1000,1000,47.88,4.79,39.6,3.96,41.4,4.14,롯데,0.83,17.3,95000,9500,데일리샷,2026-06-28,6007,36.8,면세,롯데,0.83,글렌드로낙 10년 1000ml,글렌드로낙 10년 1000ml,글렌드로낙 10년 1000ml
롱몬23년 700ml,700,,700,700,,,208.8,29.83,203.0,29.0,신세계,0.83,2.8,,,,,,,,,,,롱몬 23년 700mL,롱몬23년 700ml
와일드터키 아메리칸 허니 1000ml,1000,,1000,1000,,,13.28,1.33,21.6,2.16,롯데,0.83,38.5,25000,3333,데일리샷,2026-06-28,2017,39.5,면세,,,,와일드터키 아메리칸 허니 1000ml,와일드터키 아메리칸 허니 1000ml
탈리스커 10년 1L,1000,1000,1000,1000,48.45,4.84,52.36,5.24,44.37,4.44,신세계,0.8,15.3,66800,9543,데일리샷,2026-06-30,6735,29.4,면세,신라,0.39,탈리스커 10년 1L,탈리스커 10년 1000ml,탈리스커 10년 1000ml
밀크앤허니 에이펙스 데킬라 캐스크 700ml,700,,700,700,,,82.9,11.84,88.2,12.6,롯데,0.76,6.0,,,,,,,,,,,밀크앤허니 에이펙스 데킬라 캐스크 700ml,밀크앤허니 에이펙스 데킬라 캐스크 700ml
조니워커 더블 블랙 1000ml,1000,1000,1000,1000,32.16,3.22,39.66,3.97,33.5,3.35,신라,0.75,18.9,44000,6286,데일리샷,2026-06-30,4884,22.3,면세,신라,0.75,조니워커 더블 블랙 1000ml,조니워커 더블 블랙 1000ml,조니워커 더블블랙 1000ml
와일드터키 켄터키 스피릿 1L,1000,1000,1000,1000,39.22,3.92,33.96,3.4,41.44,4.14,롯데,0.75,18.1,,,,,,,,롯데,0.53,와일드터키 켄터키 스피릿 1L,와일드터키 켄터키 스피릿 1000ml,와일드터키 켄터키 스피릿 1000ml
조니워커 블랙라벨 트리플캐스크 에디션 1000ml,1000,,1000,1000,,,38.8,3.88,31.5,3.15,신세계,0.73,18.8,39000,5571,데일리샷,2026-06-28,4778,14.2,면세,,,,조니워커 블랙 라벨 트리플 캐스크 에디션 1000ml,조니워커 블랙라벨 트리플캐스크 에디션 1000ml
조니워커 아일랜드 그린 1000ml,1000,1000,1000,1000,43.0,4.3,50.22,5.02,43.0,4.3,신라/신세계,0.72,14.4,,,,,,,,신라,0.72,조니워커 아일랜드 그린 1000ml,조니워커 아일랜드 그린 1000ml,조니워커 아일랜드 그린 1000ml
기원 달 기프트팩 700ml,700,700,700,700,43.55,6.22,38.59,5.51,43.55,6.22,롯데,0.71,11.4,,,,,,,,롯데,0.71,기원 달 기프트팩 700ml,기원 달 기프트팩 700ml,기원 달 기프트팩 700ml
와일드터키 롱브랜치 1000ml,1000,,1000,1000,,,27.66,2.77,34.8,3.48,롯데,0.71,20.5,,,,,,,,,,,와일드터키 롱브랜치 1000ml,와일드터키 롱브랜치 1000ml
카발란 올로로소 쉐리 오크 1000ml,1000,1000,1000,1000,103.2,10.32,96.32,9.63,103.2,10.32,롯데,0.69,6.7,,,,,,,,롯데,0.69,카발란 올로로소 쉐리 오크 1000ml,카발란 올로로소 쉐리오크 1000ml,카발란 올로로소 쉐리 오크 1000ml
싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml,1000,1000,1000,1000,31.28,3.13,38.08,3.81,36.04,3.6,신라,0.68,17.9,,,,,,,,신라,0.68,싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml,싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml,싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml
와일드터키 101 1000ml,1000,1000,1000,1000,24.96,2.5,22.03,2.2,28.8,2.88,롯데,0.68,23.5,,,,,,,,롯데,0.29,와일드터키 101 1000ml,와일드터키 101 1000ml,와일드터키101 1000ml
주라 더 팹스 700ml,700,700,,700,64.15,9.16,,,59.4,8.49,신세계,0.68,7.4,,,,,,,,,,주라 더 팹스 700ml,,주라 더 팹스 700ml
싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release),700,,700,700,,,88.48,12.64,83.74,11.96,신세계,0.68,5.4,,,,,,,,,,,싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release),싱글톤 글렌듈란 14년 SR FY24 700ml(2023 Special Release)
아드벡 우거다일 700ml,700,700,700,700,68.25,9.75,68.25,9.75,72.8,10.4,신라/롯데,0.65,6.3,134000,19143,데일리샷,2026-06-28,14790,22.7,면세,동일,0.0,아드벡 우거다일 700ml,아드벡 우거다일 700ml,아드벡 우거다일 700ml
제임슨 블랙배럴 1000ml,1000,1000,,1000,30.68,3.07,,,37.17,3.72,신라,0.65,17.5,36800,5257,데일리샷,2026-06-28,4657,11.4,면세,,,제임슨 블랙배럴 1000ml,,제임슨 블랙배럴 1000ml
카발란 EX 버번 솔리스트 1000ml,1000,,1000,1000,,,86.24,8.62,92.4,9.24,롯데,0.62,6.7,,,,,,,,,,,카발란 EX-버번 솔리스트 1000ml,카발란 EX 버번 솔리스트 1000ml
로얄브라클라 12년 1000ml,1000,1000,1000,1000,49.76,4.98,43.69,4.37,49.47,4.95,롯데,0.61,12.2,85000,12143,데일리샷,2026-06-30,6629,45.4,면세,롯데,0.61,로얄브라클라 12년 1000ml,로얄브라클라 12년 1000ml,로얄브라클라 12년 1000ml
듀어스 16년 1000ml,1000,1000,1000,1000,43.61,4.36,37.57,3.76,43.44,4.34,롯데,0.6,13.8,,,,,,,,롯데,0.6,듀어스 16년 1000ml,듀어스 16년 1000ml,듀어스 16년 1000ml
레드브레스트 15년 700ml,700,700,,700,75.58,10.8,,,71.4,10.2,신세계,0.6,5.5,135900,19414,데일리샷,2026-06-28,15472,20.3,면세,,,레드브레스트 15년 700ml,,레드브레스트 15년 700ml
더 디콘 1000ml,1000,,1000,1000,,,34.39,3.44,28.4,2.84,신세계,0.6,17.4,35900,3590,데일리샷,2026-06-28,4308,-20.0,국내,,,,더 디콘 1000ml,더 디콘 1000ml
글렌드로낙 16년 700ml,700,700,,700,103.95,14.85,,,108.0,15.43,신라,0.58,3.7,350000,50000,데일리샷,2026-06-28,22526,54.9,면세,,,글렌드로낙 16년 700ml,,글렌드로낙 16년 700ml
기원 달 700ml,700,700,700,700,35.75,5.11,31.68,4.53,33.0,4.71,롯데,0.58,11.4,,,,,,,,롯데,0.58,기원 달 700ml,기원 달 700ml,기원 달 700ml
오켄토션 다크 오크 1000ml,1000,1000,1000,1000,40.82,4.08,35.11,3.51,38.48,3.85,롯데,0.57,14.0,,,,,,,,롯데,0.57,오켄토션 다크 오크 1000ml,오켄토션 다크 오크 1000ml,오켄토션 다크 오크 1000ml
기원 해 700ml,700,700,700,700,39.65,5.66,35.71,5.1,37.2,5.31,롯데,0.56,9.9,,,,,,,,롯데,0.56,기원 해 700ml,기원 해 700ml,기원 해 700ml
스카라버스 10년 700ml,700,700,,700,42.8,6.11,,,46.75,6.68,신라,0.56,8.5,,,,,,,,,,스카라버스 10년 700ml,,스카라버스 10년 700ml
마르스 이와이 트레디션 750ml,750,750,,750,41.5,5.53,,,45.65,6.09,신라,0.55,9.1,75000,10714,데일리샷,2026-06-28,8388,21.7,면세,,,마르스 이와이 트레디션 750ml,,마르스 이와이 트레디션 750ml
글렌데브론 16년 1000ml,1000,1000,1000,1000,45.32,4.53,39.78,3.98,45.0,4.5,롯데,0.55,12.2,,,,,,,,롯데,0.55,글렌데브론 16년 1000ml,글렌데브론 16년 1000ml,글렌데브론 16년 1000ml
글렌모렌지 인피니타 18년 700ml,700,700,700,,90.0,12.86,86.25,12.32,,,롯데,0.54,4.2,,,,,,,,롯데,0.54,글렌모렌지 인피니타 18년 700ml,글렌모렌지 인피니타 18년 700ml,
쿠라 클래식 700ml,700,700,,700,65.0,9.29,,,68.75,9.82,신라,0.54,5.5,,,,,,,,,,쿠라 클래식 700ml,,쿠라 클래식 700ml
듀어스 더블더블 20년 500ml,500,500,,500,70.76,14.15,,,73.42,14.68,신라,0.53,3.6,,,,,,,,,,듀어스 더블더블 20년 500ml,,듀어스 더블더블 20년 500ml
글렌모레이 12년 1000ml,1000,1000,,1000,36.25,3.63,,,30.96,3.1,신세계,0.53,14.6,,,,,,,,,,글렌모레이 12년 1000ml,,글렌모레이 12년 1000ml
마르스 몰티지 코스모 700ml,700,700,,700,79.49,11.36,,,75.9,10.84,신세계,0.51,4.5,,,,,,,,,,마르스 몰티지 코스모 700ml,,마르스 몰티지 코스모 700ml
라프로익 12년 700ml,700,700,,700,42.0,6.0,,,38.5,5.5,신세계,0.5,8.3,,,,,,,,,,라프로익 12년 700ml,,라프로익 12년 700ml
NEW 올트모어 18년 (마데이라) 500ml,500,500,,500,67.69,13.54,,,65.31,13.06,신세계,0.48,3.5,178000,25429,데일리샷,2026-06-28,19811,22.1,면세,,,NEW 올트모어 18년 (마데이라) 500ml,,NEW 올트모어 18년 (마데이라) 500ml
카미키 사쿠라 750ml,750,750,,750,71.4,9.52,,,67.83,9.04,신세계,0.48,5.0,128000,18286,데일리샷,2026-06-28,13713,25.0,면세,,,카미키 사쿠라 750ml,,카미키 사쿠라 750ml
윌더니스 트레일 켄터키 스트레이트 라이 750ml,750,750,,750,25.18,3.36,,,28.7,3.83,신라,0.47,12.3,,,,,,,,,,윌더니스 트레일 켄터키 스트레이트 라이 750ml,,윌더니스 트레일 켄터키 스트레이트 라이 750ml
시바스리갈 12년 1000ml,1000,1000,,1000,33.61,3.36,,,28.9,2.89,신세계,0.47,14.0,49900,6653,데일리샷,2026-06-28,4384,34.1,면세,,,시바스리갈 12년 1000ml,,시바스리갈 12년 1000ml
아드벡 스모크트레일즈 배치3 1000ml,1000,1000,1000,1000,71.25,7.12,67.5,6.75,72.0,7.2,롯데,0.45,6.2,,,,,,,,롯데,0.37,아드벡 스모크트레일즈 배치3 1000ml,아드벡 스모크트레일즈 배치3 1000ml,아드벡 스모크트레일즈 배치3 1000ml
짐빔 싱글 배럴  750ml,750,750,,750,20.21,2.69,,,23.5,3.13,신라,0.44,14.0,,,,,,,,,,짐빔 싱글 배럴  750ml,,짐빔 싱글배럴 750ml
오켄토션 18년 700ml,700,700,,700,52.92,7.56,,,49.88,7.13,신세계,0.43,5.7,,,,,,,,,,오켄토션 18년 700ml,,오켄토션 18년 700ml
로얄브라클라 21년 700ml,700,700,700,700,160.08,22.87,162.86,23.27,160.78,22.97,신라,0.4,1.7,,,,,,,,신라,0.4,로얄브라클라 21년 700ml,로얄브라클라 21년 700ml,로얄브라클라 21년 700ml
러셀 리저브 라이 6년 750ml,750,750,,750,29.0,3.87,,,31.9,4.25,신라,0.39,9.1,55900,7986,데일리샷,2026-06-28,5870,26.5,면세,,,러셀 리저브 라이 6년 750ml,,러셀 리저브 라이 6년 750ml
듀어스 18년 1000ml,1000,1000,,1000,53.37,5.34,,,57.26,5.73,신라,0.39,6.8,99000,14143,데일리샷,2026-06-30,8100,42.7,면세,,,듀어스 18년 1000ml,,듀어스 18년 1000ml
우드포드 리저브 디스틸러 셀렉트 1000ml,1000,1000,,1000,25.65,2.57,,,29.4,2.94,신라,0.37,12.8,58000,8286,데일리샷,2026-06-30,3898,52.9,면세,,,우드포드 리저브 디스틸러 셀렉트 1000ml,,우드포드리저브 디스틸러 셀렉트 1000ml
싱글톤 가든스 오브 어번던스 - 골든 어텀 오차드 1000ml,1000,1000,1000,1000,51.73,5.17,55.44,5.54,52.47,5.25,신라,0.37,6.7,,,,,,,,신라,0.37,싱글톤 가든스 오브 어번던스 - 골든 어텀 오차드 1000ml,싱글톤 가든스 오브 어번던스 - 골든 어텀 오차드 1000ml,싱글톤 가든스 오브 어번던스 - 골든 어텀 오차드1000ml
레드브레스트 12년 700ml,700,700,,700,47.42,6.77,,,44.8,6.4,신세계,0.37,5.5,74800,10686,데일리샷,2026-06-28,9708,9.1,면세,,,레드브레스트 12년 700ml,,레드브레스트 12년 700ml
라가불린 16년 700ml,700,700,,700,70.7,10.1,,,73.2,10.46,신라,0.36,3.4,144000,19200,데일리샷,2026-06-28,15321,20.2,면세,,,라가불린 16년 700ml,,라가불린 16년 700ml
몽키숄더 1000ml,1000,1000,1000,1000,29.0,2.9,26.4,2.64,30.0,3.0,롯데,0.36,12.0,44000,6286,데일리샷,2026-06-30,4005,36.3,면세,롯데,0.26,몽키숄더 1000ml,몽키숄더 1000ml,몽키숄더 1000ml
잭다니엘 싱글배럴 100프루프 700ml,700,700,700,700,34.88,4.98,37.33,5.33,37.4,5.34,신라,0.36,6.7,,,,,,,,신라,0.35,잭다니엘 싱글배럴 100프루프 700ml,잭다니엘 싱글배럴 100 프루프 700ml,잭다니엘 싱글배럴 100프루프 700ml
아드벡 10년 1000ml,1000,1000,,1000,54.0,5.4,,,57.6,5.76,신라,0.36,6.2,114000,11400,데일리샷,2026-06-28,8191,28.1,면세,,,아드벡 10년 1000ml,,아드벡 10년 1000ml
더 글렌그란트 익스플로레이션 NO.1 700ml,700,,700,700,,,74.52,10.65,72.0,10.29,신세계,0.36,3.4,99800,14257,트레이더스,2026-05-27,15609,-9.5,국내,,,,더 글렌그란트 익스플로레이션 No.1 700ml,더 글렌그란트 익스플로레이션 NO.1 700ml
오켄토션 다크 오크 CNY 1000ml,1000,1000,,1000,33.11,3.31,,,36.58,3.66,신라,0.35,9.5,,,,,,,,,,오켄토션 다크 오크 CNY 1000ml,,오켄토션 다크오크 CNY 1000ml
주라 28년 700ml,700,700,,700,395.35,56.48,,,397.8,56.83,신라,0.35,0.6,,,,,,,,,,주라 28년 700ml,,주라 28년 700ml
토마틴 21년 700ml,700,700,,700,128.52,18.36,,,126.14,18.02,신세계,0.34,1.9,359000,51286,데일리샷,2026-06-28,27335,46.7,면세,,,토마틴 21년 700ml,,토마틴 21년 700ml
메이커스 마크 101 1000ml,1000,1000,,1000,37.26,3.73,,,40.7,4.07,신라,0.34,8.5,,,,,,,,,,메이커스 마크 101 1000ml,,메이커스 마크 101 1000ml
발렌타인 17년 700ml,700,,700,700,,,54.99,7.86,52.64,7.52,신세계,0.34,4.3,95000,13571,데일리샷,2026-06-30,11407,15.9,면세,,,,발렌타인 17년 700ml,발렌타인 17년 700ml
시바스리갈 얼티스 1000ml,1000,,1000,1000,,,144.76,14.48,141.47,14.15,신세계,0.33,2.3,,,,,,,,,,,시바스리갈 얼티스 1000ml,시바스리갈 얼티스 1000ml
틸링 싱글 그레인 1000ml,1000,,1000,1000,,,29.78,2.98,33.04,3.3,롯데,0.33,9.9,,,,,,,,,,,틸링 싱글 그레인 1000ml,틸링 싱글 그레인 1000ml
와일드터키101 라이 1000ml,1000,1000,,1000,20.7,2.07,,,23.92,2.39,신라,0.32,13.5,39900,5320,데일리샷,2026-06-28,3140,41.0,면세,,,와일드터키101 라이 1000ml,,와일드터키101 라이 1000ml
산토리 토키 블랙 1000ml,1000,1000,,1000,27.17,2.72,,,30.25,3.02,신라,0.31,10.2,,,,,,,,,,산토리 토키 블랙 1000ml,,산토리 토키 블랙 1000ml
엘리먼츠오브아일라 버번캐스크 700ml,700,700,,700,46.87,6.7,,,49.05,7.01,신라,0.31,4.4,127000,18143,데일리샷,2026-06-28,10163,44.0,면세,,,엘리먼츠오브아일라 버번캐스크 700ml,,엘리먼츠오브아일라 버번 캐스크 700ml
밀크앤허니 클래식 싱글몰트 700ml,700,700,,700,35.19,5.03,,,37.35,5.34,신라,0.31,5.8,84000,12000,데일리샷,2026-06-28,7630,36.4,면세,,,밀크앤허니 클래식 싱글몰트 700ml,,밀크앤허니 클래식 싱글몰트 700ml
시바스리갈 15년 1000ml,1000,,1000,1000,,,52.48,5.25,49.36,4.94,신세계,0.31,5.9,68000,9714,데일리샷,2026-06-28,7493,22.9,면세,,,,시바스리갈 15년 1000ml,시바스리갈 15년 1000ml
싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,700,700,700,700,146.3,20.9,147.84,21.12,148.4,21.2,신라,0.3,1.4,,,,,,,,신라,0.22,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치 700ml,싱글톤 가든스 오브 어번던스 - 딥 포레스트 리치700ml
발렌타인 10년 1000ml,1000,1000,1000,1000,22.88,2.29,25.74,2.57,24.64,2.46,신라,0.29,11.1,31980,4569,트레이더스,2026-06-30,3474,24.0,면세,신라,0.29,발렌타인 10년 1000ml,발렌타인 10년 1L,발렌타인 10년 1000ml
롱몬 18년 700ml,700,,700,700,,,72.0,10.29,70.0,10.0,신세계,0.29,2.8,,,,,,,,,,,롱몬 18년 700mL,롱몬 18년 700ml
오켄토션 아메리칸 오크 1000ml,1000,1000,1000,1000,25.37,2.54,25.52,2.55,28.03,2.8,신라,0.27,9.5,,,,,,,,신라,0.02,오켄토션 아메리칸 오크 1000ml,오켄토션 아메리칸 오크 1000ml,오켄토션 아메리칸 오크 1000ml
더 글렌그란트 캐스크 헤이븐 1000ml,1000,1000,,1000,39.15,3.91,,,41.76,4.18,신라,0.26,6.3,,,,,,,,,,더 글렌그란트 캐스크 헤이븐 1000ml,,더 글렌그란트 캐스크 헤이븐 1000ml
미클토어 친커핀 700ml,700,700,,700,47.32,6.76,,,45.5,6.5,신세계,0.26,3.8,,,,,,,,,,미클토어 친커핀 700ml,,미클토어 친커핀 700ml
글렌피딕 벳 1 퍼페추얼 컬렉션 1000ml,1000,,1000,1000,,,39.31,3.93,36.69,3.67,신세계,0.26,6.7,,,,,,,,,,,글렌피딕 벳 1 퍼페추얼 컬렉션 1000ml,글렌피딕 벳 1 퍼페추얼 컬렉션 1000ml
우드포드 리저브 더블 오크 1000ml,1000,1000,1000,1000,42.04,4.2,44.55,4.46,44.1,4.41,신라,0.25,5.6,58000,8286,데일리샷,2026-06-30,6371,23.1,면세,신라,0.25,우드포드 리저브 더블 오크 1000ml,우드포드리저브 더블오크 1000ml,우드포드리저브 더블오크 1000ml
리젠트 버번 700ml,700,,700,700,,,33.25,4.75,35.0,5.0,롯데,0.25,5.0,,,,,,,,,,,리젠트 버번 700ml,리젠트 버번 700ml
더 글렌그란트 16년 1000ml,1000,1000,1000,1000,69.0,6.9,71.41,7.14,69.0,6.9,신라/신세계,0.24,3.4,,,,,,,,신라,0.24,더 글렌그란트 16년 1000ml,더 글렌그란트 16년 1000ml,더 글렌그란트 16년 1000ml
와일드 터키 레어브리드 1000ml,1000,1000,1000,1000,36.86,3.69,39.12,3.91,36.8,3.68,신세계,0.23,5.9,68900,9843,데일리샷,2026-06-30,5582,43.3,면세,신라,0.23,와일드 터키 레어브리드 1000ml,와일드터키 레어브리드 1000ml,와일드터키 레어브리드 1000ml
조니워커 블랙 1000ml,1000,1000,,1000,30.32,3.03,,,28.0,2.8,신세계,0.23,7.7,39000,5571,데일리샷,2026-06-28,4247,23.8,면세,,,조니워커 블랙 1000ml,,조니워커 블랙 1000ml
더 글렌그란트 12년 1000ml,1000,1000,1000,1000,36.66,3.67,35.1,3.51,37.44,3.74,롯데,0.23,6.3,57000,8143,데일리샷,2026-06-30,5324,34.6,면세,롯데,0.16,더 글렌그란트 12년 1000ml,더 글렌그란트 12년 1000ml,더 글렌그란트 12년 1000ml
글렌모렌지 14년 엘레멘타 1000ml,1000,1000,1000,1000,67.5,6.75,67.5,6.75,69.75,6.98,신라/롯데,0.23,3.2,,,,,,,,동일,0.0,글렌모렌지 14년 엘레멘타 1000ml,글렌모렌지 14년 엘레멘타 1000ml,글렌모렌지 14년 엘레멘타 1000ml
